score,time,nok,nko,groupName,userId,moduleName,nsession,key,sumscore,sumtime,sumnok,sumnko,sumnsession
18.44,31,153,50,"AM 2","2660092","Les Fondamentaux Campus",1,"13/09/2017",18.44,31,153,50,1
2.76,11,32,28,"AM 2","2660092","Les Fondamentaux Campus",1,"14/09/2017",21.200000000000003,42,185,78,2
0.88,7,13,20,"AM 2","2660093","Les Fondamentaux Campus",1,"12/09/2017",0.88,7,13,20,1
14,3,42,0,"AM 2","2660094","Supérieur",1,"19/09/2017",14,3,42,0,1
85.51999999999998,79,443,55,"AM 2","2660094","Supérieur",1,"21/09/2017",99.51999999999998,82,485,55,2
11.28,45,74,18,"AM 2","2660094","Supérieur",1,"28/09/2017",110.79999999999998,127,559,73,3
26.319999999999997,30,199,48,"AM 2","2660094","Supérieur",1,"19/10/2017",137.11999999999998,157,758,121,4
12.94,11,69,9,"AM 2","2660095","Les Fondamentaux Campus",1,"13/09/2017",12.94,11,69,9,1
6.3999999999999995,13,74,33,"AM 2","2660095","Les Fondamentaux Campus",1,"14/09/2017",19.34,24,143,42,2
1,16,40,47,"AM 2","2660095","Les Fondamentaux Campus",1,"18/09/2017",20.34,40,183,89,3
10.76,8,45,5,"AM 2","2660096","Les Fondamentaux Campus",1,"05/10/2017",10.76,8,45,5,1
27.640000000000004,31,175,39,"AM 2","2660097","Supérieur",1,"19/09/2017",27.640000000000004,31,175,39,1
