Date;BU Rockefeller;BU Sciences Doua;BU Lyon-Sud;BU Croix-Rousse;BU Odontologie;Sciences Po Lyon;BU Chevreul;BU Bron;Bib Marie Curie;BU Manufacture - Lyon 3;Learning Hub Lyon - Ecully;maker's lab Lyon - Ecully;Bib Michel Serres;atelier makers' lab Lyon - Ecully;total
28/12/2018;808;0;0;0;0;0;0;0;958;0;0;0;0;0;1766
29/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/12/2018;0;0;0;0;0;0;0;0;805;0;0;0;0;0;805
01/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2019;1415;0;0;0;0;0;0;0;1361;0;0;0;0;0;2776
03/01/2019;3038;3699;304;0;0;107;2061;366;560;1678;23;28;0;0;11864
04/01/2019;3245;3599;297;0;0;81;2487;610;502;1521;34;15;0;0;12391
05/01/2019;2431;3317;139;0;0;0;1675;0;113;548;1;0;0;0;8224
06/01/2019;1962;3722;133;0;0;0;0;0;0;563;0;0;0;0;6380
07/01/2019;3077;5033;596;634;72;428;3507;2217;1692;2570;147;139;359;0;20471
08/01/2019;2765;4715;829;698;57;425;3384;1637;1657;2049;210;226;305;42;18999
09/01/2019;2791;4163;1015;903;59;355;3189;1314;1818;2633;97;175;282;0;18794
10/01/2019;2883;3832;958;537;65;354;3045;1110;1635;1740;65;71;273;0;16568
11/01/2019;2060;3012;798;406;29;311;2579;1419;1393;1650;36;41;211;0;13945
12/01/2019;1699;2823;447;64;0;0;1434;0;738;481;7;0;41;0;7734
13/01/2019;1289;3439;320;0;0;0;0;0;0;625;0;0;0;0;5673
14/01/2019;3328;3135;872;635;111;471;2719;1181;1793;2677;160;191;373;0;17646
15/01/2019;3381;2632;812;635;124;383;2731;1149;1890;2521;157;141;385;0;16941
16/01/2019;3247;2462;1037;817;106;409;2503;749;1852;2952;140;340;395;16;17025
17/01/2019;3443;2301;984;506;115;343;2017;559;2017;2684;85;221;282;172;15729
18/01/2019;2775;1750;1035;563;82;191;1759;406;1578;2042;102;319;270;0;12872
19/01/2019;2424;2418;522;37;0;0;1148;0;830;518;21;0;75;0;7993
20/01/2019;1521;3205;429;0;0;0;0;0;0;617;0;0;0;0;5772
21/01/2019;3586;3764;1152;701;200;473;2392;1760;2032;3720;1307;293;451;0;21831
22/01/2019;3637;4199;889;605;176;562;2076;1606;1971;3502;1343;332;276;0;21174
23/01/2019;3210;4280;989;506;92;500;2065;1639;1937;3869;447;105;214;0;19853
24/01/2019;3487;4259;1080;651;75;441;1268;695;1865;3921;1109;326;210;0;19387
25/01/2019;3241;3119;1103;539;86;188;1893;1006;1644;2683;619;138;214;0;16473
26/01/2019;2431;2951;533;37;0;0;934;0;2075;593;58;0;9;0;9621
27/01/2019;1789;3812;369;0;0;0;0;0;0;667;0;0;0;0;6637
28/01/2019;3595;4181;1127;670;158;589;2569;2135;1758;4409;1058;287;409;0;22945
29/01/2019;3629;4382;963;612;157;570;2643;1981;1852;4469;1019;424;194;0;22895
30/01/2019;3552;3526;1157;1003;92;611;2789;2030;1873;4529;903;223;152;611;23051
31/01/2019;3751;3679;1121;604;94;365;2721;1812;1400;4240;863;214;143;567;21574
01/02/2019;3269;2580;1081;485;95;331;2060;1040;808;3131;604;181;128;0;15793
02/02/2019;2263;1828;579;47;0;0;1150;0;161;1047;59;0;13;0;7147
03/02/2019;1794;2203;452;0;0;0;0;0;0;738;0;0;0;0;5187
04/02/2019;4156;3339;1205;674;197;629;2678;2207;1095;4909;1375;282;170;0;22916
05/02/2019;3622;3743;742;483;118;565;2968;1923;1046;5355;1314;398;212;0;22489
06/02/2019;3369;3589;957;742;151;654;2964;2025;1179;5136;981;197;207;0;22151
07/02/2019;3442;3183;1110;523;107;684;2933;1735;1109;5141;1246;478;128;0;21819
08/02/2019;3241;3063;1005;474;105;340;2301;1110;865;3844;596;190;130;0;17264
09/02/2019;2317;2144;513;67;0;0;1417;0;321;958;94;0;55;0;7886
10/02/2019;1600;2531;394;0;0;0;0;0;0;918;0;0;0;0;5443
11/02/2019;4493;4452;1078;568;195;689;2948;2274;1168;5332;2229;311;218;0;25955
12/02/2019;4094;3727;1010;689;178;618;3383;2184;1337;5423;1322;733;192;0;24890
13/02/2019;4051;3581;1097;871;201;621;2978;2074;1065;5224;1052;244;209;0;23268
14/02/2019;3669;2983;987;637;97;715;2612;1650;988;4449;1054;306;161;0;20308
15/02/2019;3231;2347;932;430;98;283;1998;966;777;3322;814;137;114;0;15449
16/02/2019;1917;1077;454;35;0;0;909;0;155;585;70;0;0;0;5202
17/02/2019;1168;1202;414;0;0;0;0;0;0;448;0;0;0;0;3232
